timestamp_utc,episode,reward,score,episode_steps,average_reward,best_reward,epsilon,total_training_steps,q_entries
2026-04-30T04:01:38.9907001+00:00,137,123.0579,2300,3281,146.6305,429.0511,0.505754,331206,16507
2026-04-30T04:01:41.0814625+00:00,138,87.5627,1700,2455,146.7606,429.0511,0.503225,333661,16525
2026-04-30T04:01:43.5124742+00:00,139,115.5545,2200,2878,147.8540,429.0511,0.500709,336539,16557
2026-04-30T04:01:46.5992567+00:00,140,150.1989,2700,3628,148.9660,429.0511,0.498205,340167,16581
2026-04-30T04:01:48.1239148+00:00,141,51.7556,900,1787,146.2377,429.0511,0.495714,341954,16597
2026-04-30T04:01:49.9083757+00:00,142,66.4528,1300,2096,144.0068,429.0511,0.493236,344050,16644
2026-04-30T04:01:52.2733455+00:00,143,103.9501,1900,2773,144.3642,429.0511,0.490770,346823,16671
2026-04-30T04:01:57.0787680+00:00,144,282.7717,4800,5713,147.0464,429.0511,0.488316,352536,16723
2026-04-30T04:02:02.2829143+00:00,145,302.2088,4900,6189,150.6113,429.0511,0.485874,358725,16744
2026-04-30T04:02:09.8354535+00:00,146,515.7371,7800,9006,158.4828,515.7371,0.483445,367731,16820
2026-04-30T04:02:12.8821014+00:00,147,171.4649,2700,3592,160.0408,515.7371,0.481028,371323,16858
2026-04-30T04:02:17.3079406+00:00,148,245.7437,4200,5255,163.5158,515.7371,0.478622,376578,16948
2026-04-30T04:02:18.8748294+00:00,149,36.0781,900,1788,163.8251,515.7371,0.476229,378366,16965
2026-04-30T04:02:21.3774809+00:00,150,131.1720,2300,2928,165.3445,515.7371,0.473848,381294,16983
2026-04-30T04:02:35.0054701+00:00,151,864.5960,14400,16269,178.8057,864.5960,0.471479,397563,17093
2026-04-30T04:02:37.4656468+00:00,152,117.4248,2000,2895,179.2581,864.5960,0.469122,400458,17116
2026-04-30T04:02:40.1271317+00:00,153,126.3758,2200,3142,177.1878,864.5960,0.466776,403600,17122
2026-04-30T04:02:46.6114220+00:00,154,382.1110,6500,7708,181.5312,864.5960,0.464442,411308,17181
2026-04-30T04:02:49.4929651+00:00,155,143.0605,2800,3392,180.9032,864.5960,0.462120,414700,17212
2026-04-30T04:02:59.2171679+00:00,156,645.4938,9900,11581,188.6778,864.5960,0.459809,426281,17308
2026-04-30T04:03:00.8124513+00:00,157,63.1968,1300,1846,189.3683,864.5960,0.457510,428127,17323
2026-04-30T04:03:07.7813712+00:00,158,447.1050,7200,8302,195.6037,864.5960,0.455223,436429,17412
2026-04-30T04:03:13.3920380+00:00,159,336.0426,5400,6658,197.6558,864.5960,0.452947,443087,17448
